target	pos	depth
Novosphing_resinovorum_CP017076_catB2	1	0
Novosphing_resinovorum_CP017076_catB2	2	0
Novosphing_resinovorum_CP017076_catB2	3	0
Novosphing_resinovorum_CP017076_catB2	4	0
Novosphing_resinovorum_CP017076_catB2	5	0
Novosphing_resinovorum_CP017076_catB2	6	0
Novosphing_resinovorum_CP017076_catB2	7	0
Novosphing_resinovorum_CP017076_catB2	8	0
Novosphing_resinovorum_CP017076_catB2	9	0
Novosphing_resinovorum_CP017076_catB2	10	0
Novosphing_resinovorum_CP017076_catB2	11	0
Novosphing_resinovorum_CP017076_catB2	12	0
Novosphing_resinovorum_CP017076_catB2	13	0
Novosphing_resinovorum_CP017076_catB2	14	0
Novosphing_resinovorum_CP017076_catB2	15	0
Novosphing_resinovorum_CP017076_catB2	16	0
Novosphing_resinovorum_CP017076_catB2	17	0
Novosphing_resinovorum_CP017076_catB2	18	0
Novosphing_resinovorum_CP017076_catB2	19	0
Novosphing_resinovorum_CP017076_catB2	20	0
Novosphing_resinovorum_CP017076_catB2	21	0
Novosphing_resinovorum_CP017076_catB2	22	0
Novosphing_resinovorum_CP017076_catB2	23	0
Novosphing_resinovorum_CP017076_catB2	24	0
Novosphing_resinovorum_CP017076_catB2	25	0
Novosphing_resinovorum_CP017076_catB2	26	0
Novosphing_resinovorum_CP017076_catB2	27	0
Novosphing_resinovorum_CP017076_catB2	28	0
Novosphing_resinovorum_CP017076_catB2	29	0
Novosphing_resinovorum_CP017076_catB2	30	0
Novosphing_resinovorum_CP017076_catB2	31	0
Novosphing_resinovorum_CP017076_catB2	32	0
Novosphing_resinovorum_CP017076_catB2	33	0
Novosphing_resinovorum_CP017076_catB2	34	0
Novosphing_resinovorum_CP017076_catB2	35	0
Novosphing_resinovorum_CP017076_catB2	36	0
Novosphing_resinovorum_CP017076_catB2	37	0
Novosphing_resinovorum_CP017076_catB2	38	0
Novosphing_resinovorum_CP017076_catB2	39	0
Novosphing_resinovorum_CP017076_catB2	40	0
Novosphing_resinovorum_CP017076_catB2	41	0
Novosphing_resinovorum_CP017076_catB2	42	0
Novosphing_resinovorum_CP017076_catB2	43	0
Novosphing_resinovorum_CP017076_catB2	44	0
Novosphing_resinovorum_CP017076_catB2	45	0
Novosphing_resinovorum_CP017076_catB2	46	0
Novosphing_resinovorum_CP017076_catB2	47	0
Novosphing_resinovorum_CP017076_catB2	48	0
Novosphing_resinovorum_CP017076_catB2	49	0
Novosphing_resinovorum_CP017076_catB2	50	0
Novosphing_resinovorum_CP017076_catB2	51	0
Novosphing_resinovorum_CP017076_catB2	52	0
Novosphing_resinovorum_CP017076_catB2	53	0
Novosphing_resinovorum_CP017076_catB2	54	0
Novosphing_resinovorum_CP017076_catB2	55	0
Novosphing_resinovorum_CP017076_catB2	56	0
Novosphing_resinovorum_CP017076_catB2	57	0
Novosphing_resinovorum_CP017076_catB2	58	0
Novosphing_resinovorum_CP017076_catB2	59	0
Novosphing_resinovorum_CP017076_catB2	60	0
Novosphing_resinovorum_CP017076_catB2	61	0
Novosphing_resinovorum_CP017076_catB2	62	0
Novosphing_resinovorum_CP017076_catB2	63	0
Novosphing_resinovorum_CP017076_catB2	64	0
Novosphing_resinovorum_CP017076_catB2	65	0
Novosphing_resinovorum_CP017076_catB2	66	0
Novosphing_resinovorum_CP017076_catB2	67	0
Novosphing_resinovorum_CP017076_catB2	68	0
Novosphing_resinovorum_CP017076_catB2	69	0
Novosphing_resinovorum_CP017076_catB2	70	0
Novosphing_resinovorum_CP017076_catB2	71	0
Novosphing_resinovorum_CP017076_catB2	72	0
Novosphing_resinovorum_CP017076_catB2	73	0
Novosphing_resinovorum_CP017076_catB2	74	0
Novosphing_resinovorum_CP017076_catB2	75	0
Novosphing_resinovorum_CP017076_catB2	76	0
Novosphing_resinovorum_CP017076_catB2	77	0
Novosphing_resinovorum_CP017076_catB2	78	0
Novosphing_resinovorum_CP017076_catB2	79	0
Novosphing_resinovorum_CP017076_catB2	80	0
Novosphing_resinovorum_CP017076_catB2	81	0
Novosphing_resinovorum_CP017076_catB2	82	0
Novosphing_resinovorum_CP017076_catB2	83	0
Novosphing_resinovorum_CP017076_catB2	84	0
Novosphing_resinovorum_CP017076_catB2	85	0
Novosphing_resinovorum_CP017076_catB2	86	0
