target	pos	depth
Ps_tohinis_AP023189_BpHc	1	0
Ps_tohinis_AP023189_BpHc	2	0
Ps_tohinis_AP023189_BpHc	3	0
Ps_tohinis_AP023189_BpHc	4	0
Ps_tohinis_AP023189_BpHc	5	0
Ps_tohinis_AP023189_BpHc	6	0
Ps_tohinis_AP023189_BpHc	7	0
Ps_tohinis_AP023189_BpHc	8	0
Ps_tohinis_AP023189_BpHc	9	0
Ps_tohinis_AP023189_BpHc	10	0
Ps_tohinis_AP023189_BpHc	11	0
Ps_tohinis_AP023189_BpHc	12	0
Ps_tohinis_AP023189_BpHc	13	0
Ps_tohinis_AP023189_BpHc	14	0
Ps_tohinis_AP023189_BpHc	15	0
Ps_tohinis_AP023189_BpHc	16	0
Ps_tohinis_AP023189_BpHc	17	0
Ps_tohinis_AP023189_BpHc	18	0
Ps_tohinis_AP023189_BpHc	19	0
Ps_tohinis_AP023189_BpHc	20	0
Ps_tohinis_AP023189_BpHc	21	0
Ps_tohinis_AP023189_BpHc	22	0
Ps_tohinis_AP023189_BpHc	23	0
Ps_tohinis_AP023189_BpHc	24	0
Ps_tohinis_AP023189_BpHc	25	0
Ps_tohinis_AP023189_BpHc	26	0
Ps_tohinis_AP023189_BpHc	27	0
Ps_tohinis_AP023189_BpHc	28	0
Ps_tohinis_AP023189_BpHc	29	0
Ps_tohinis_AP023189_BpHc	30	0
Ps_tohinis_AP023189_BpHc	31	0
Ps_tohinis_AP023189_BpHc	32	0
Ps_tohinis_AP023189_BpHc	33	0
Ps_tohinis_AP023189_BpHc	34	0
Ps_tohinis_AP023189_BpHc	35	0
Ps_tohinis_AP023189_BpHc	36	0
Ps_tohinis_AP023189_BpHc	37	0
Ps_tohinis_AP023189_BpHc	38	0
Ps_tohinis_AP023189_BpHc	39	0
Ps_tohinis_AP023189_BpHc	40	0
Ps_tohinis_AP023189_BpHc	41	0
Ps_tohinis_AP023189_BpHc	42	0
Ps_tohinis_AP023189_BpHc	43	0
Ps_tohinis_AP023189_BpHc	44	0
Ps_tohinis_AP023189_BpHc	45	0
Ps_tohinis_AP023189_BpHc	46	0
Ps_tohinis_AP023189_BpHc	47	0
Ps_tohinis_AP023189_BpHc	48	0
Ps_tohinis_AP023189_BpHc	49	0
Ps_tohinis_AP023189_BpHc	50	0
Ps_tohinis_AP023189_BpHc	51	0
Ps_tohinis_AP023189_BpHc	52	0
Ps_tohinis_AP023189_BpHc	53	0
Ps_tohinis_AP023189_BpHc	54	0
Ps_tohinis_AP023189_BpHc	55	0
Ps_tohinis_AP023189_BpHc	56	0
Ps_tohinis_AP023189_BpHc	57	0
Ps_tohinis_AP023189_BpHc	58	0
Ps_tohinis_AP023189_BpHc	59	0
Ps_tohinis_AP023189_BpHc	60	0
Ps_tohinis_AP023189_BpHc	61	0
Ps_tohinis_AP023189_BpHc	62	0
Ps_tohinis_AP023189_BpHc	63	0
Ps_tohinis_AP023189_BpHc	64	0
Ps_tohinis_AP023189_BpHc	65	0
Ps_tohinis_AP023189_BpHc	66	0
Ps_tohinis_AP023189_BpHc	67	0
