MIMT18S|NC_011681.1_43547_45337	47
MIMT18S|NC_012080.1_651043-652846	30
MIMT18S|NC_031674.1_4945948_4947747	35
MIMT18S|NC_040196.1_750175_751952	54
MIMT18S|NC_054682.1_256662_258463	34
MIMT18S|NC_057004.1_1503_3292	48
MIMT18S|NC_063011.1_2238271_2242142	0
MIMT18S|NC_085915.1_744695_746493	36
MIMT18S|NC_089463.1_550899_552692	44
MIMT18S|NC_090618.1_2689896_2691722	22
MIMT18S|NG_012432.1	38
MIMT18S|NG_013144.1	15
MIMT18S|NG_013154.1	79
MIMT18S|NG_013175.1	29
MIMT18S|NG_016502.1	38
MIMT18S|NG_016527.1	38
MIMT18S|NG_017166.1	21
MIMT18S|NG_017171.1	55
MIMT18S|NG_017172.1	42
MIMT18S|NG_017174.1	56
MIMT18S|NG_017176.1	105
MIMT18S|NG_017179.1	50
MIMT18S|NG_017187.1	65
MIMT18S|NG_017192.1	68
MIMT18S|NG_060979.1	16
MIMT18S|NG_060996.1	85
MIMT18S|NG_061001.1	108
MIMT18S|NG_061005.1	62
MIMT18S|NG_061016.1	293
MIMT18S|NG_061020.1	12
MIMT18S|NG_061050.1	38
MIMT18S|NG_061053.1	59
MIMT18S|NG_061059.1	98
MIMT18S|NG_061075.1	122
MIMT18S|NG_061084.1	38
MIMT18S|NG_061086.1	38
MIMT18S|NG_061087.1	38
MIMT18S|NG_061088.1	38
MIMT18S|NG_061096.1	38
MIMT18S|NG_061102.1	71
MIMT18S|NG_061103.1	35
MIMT18S|NG_061112.1	38
MIMT18S|NG_061113.1	32
MIMT18S|NG_061157.1	52
MIMT18S|NG_061171.1	103
MIMT18S|NG_061207.1	15
MIMT18S|NG_061208.1	46
MIMT18S|NG_061211.1	104
MIMT18S|NG_061246.1	8
MIMT18S|NG_062046.1	82
MIMT18S|NG_062056.1	86
MIMT18S|NG_062107.1	92
MIMT18S|NG_062126.1	60
MIMT18S|NG_062130.1	71
MIMT18S|NG_062137.1	71
MIMT18S|NG_062138.1	71
MIMT18S|NG_062145.1	37
MIMT18S|NG_062162.1	36
MIMT18S|NG_062188.1	107
MIMT18S|NG_062193.1	35
MIMT18S|NG_062371.1	57
MIMT18S|NG_062378.1	98
MIMT18S|NG_062381.1	57
MIMT18S|NG_062390.1	46
MIMT18S|NG_062391.1	32
MIMT18S|NG_062606.1	40
MIMT18S|NG_062617.1	75
MIMT18S|NG_062648.1	38
MIMT18S|NG_062655.1	72
MIMT18S|NG_062668.1	44
MIMT18S|NG_062709.1	82
MIMT18S|NG_062711.1	91
MIMT18S|NG_062715.1	38
MIMT18S|NG_062734.1	38
MIMT18S|NG_062753.1	38
MIMT18S|NG_062774.1	32
MIMT18S|NG_062778.1	15
MIMT18S|NG_062781.1	38
MIMT18S|NG_062787.1	13
MIMT18S|NG_062849.1	32
MIMT18S|NG_062850.1	32
MIMT18S|NG_062942.1	93
MIMT18S|NG_062949.1	93
MIMT18S|NG_062963.1	93
MIMT18S|NG_062967.1	52
MIMT18S|NG_062983.1	99
MIMT18S|NG_063012.1	99
MIMT18S|NG_063037.1	51
MIMT18S|NG_063040.1	7
MIMT18S|NG_063044.1	101
MIMT18S|NG_063053.1	46
MIMT18S|NG_063055.1	46
MIMT18S|NG_063063.1	53
MIMT18S|NG_063076.1	96
MIMT18S|NG_063077.1	38
MIMT18S|NG_063079.1	38
MIMT18S|NG_063099.1	46
MIMT18S|NG_063298.1	64
MIMT18S|NG_063303.1	86
MIMT18S|NG_063319.1	74
MIMT18S|NG_063327.1	74
MIMT18S|NG_063328.1	74
MIMT18S|NG_063353.1	44
MIMT18S|NG_063392.1	66
MIMT18S|NG_063418.1	61
MIMT18S|NG_063421.1	35
MIMT18S|NG_063429.1	76
MIMT18S|NG_063515.1	64
MIMT18S|NG_063517.1	52
MIMT18S|NG_063528.1	18
MIMT18S|NG_063621.1	15
MIMT18S|NG_064798.1	69
MIMT18S|NG_064815.1	53
MIMT18S|NG_064878.1	51
