273372	MIMT18S|NW_027138163.1_352446_354230
2035830	MIMT18S|NW_027396589.1_14922_16714
109760	MIMT18S|NW_015971566.1_2854_5494
463800	MIMT18S|NW_027062534.1_73261_75037
45607	MIMT18S|NW_020194005.1_2504455_2506242
45357	MIMT18S|NW_020289912.1_1119085_1120863
1231522	MIMT18S|NW_020289900.1_1_1729
76775	MIMT18S|NC_040196.1_750175_751952
1806994	MIMT18S|NW_022158463.1_3819_5612
5007	MIMT18S|NC_054682.1_256662_258463
1396493	MIMT18S|NW_026515721.1_13171_14974
110093	MIMT18S|NW_026516580.1_205_2008
2315449	MIMT18S|NC_089463.1_550899_552692
564305	MIMT18S|NC_085915.1_744695_746493
28565	MIMT18S|NW_027192309.1_1147120_1149864
4779	MIMT18S|NC_090618.1_2689896_2691722
4785	MIMT18S|NW_027150974.1_114526_116346
2810478	MIMT18S|NG_244231.1
44066	MIMT18S|NG_064798.1
391824	MIMT18S|NG_065533.1
45354	MIMT18S|NG_065474.1
46585	MIMT18S|NG_065472.1
46584	MIMT18S|NG_065471.1
78172	MIMT18S|NG_065468.1
5491	MIMT18S|NG_063392.1
418784	MIMT18S|NG_063063.1
3016851	MIMT18S|NG_242926.1
2979814	MIMT18S|NG_242889.1
2978459	MIMT18S|NG_242888.1
3044046	MIMT18S|NG_242812.1
54101	MIMT18S|NG_242797.1
2704583	MIMT18S|NG_242407.1
3031846	MIMT18S|NG_242390.1
2602199	MIMT18S|NG_242388.1
1395665	MIMT18S|NG_228691.1
109895	MIMT18S|NG_228690.1
234568	MIMT18S|NG_062138.1
234567	MIMT18S|NG_062137.1
95809	MIMT18S|NG_062130.1
2929137	MIMT18S|NG_148910.1
324673	MIMT18S|NG_148825.1
2854244	MIMT18S|NG_087901.1
2956821	MIMT18S|NG_087899.1
2971851	MIMT18S|NG_087883.1
4968	MIMT18S|NG_087859.1
78596	MIMT18S|NG_062606.1
2911221	MIMT18S|NG_081380.1
2935555	MIMT18S|NG_081376.1
2950318	MIMT18S|NG_081372.1
418781	MIMT18S|NG_081360.1
271282	MIMT18S|NG_064894.1
2780979	MIMT18S|NG_078756.1
470158	MIMT18S|NG_078730.1
335848	MIMT18S|NG_062617.1
1300151	MIMT18S|NG_064900.1
2681178	MIMT18S|NG_077424.1
261099	MIMT18S|NG_017171.1
2527679	MIMT18S|NG_064936.1
2779259	MIMT18S|NG_074961.1
2605921	MIMT18S|NG_074954.1
2697669	MIMT18S|NG_074909.1
2832334	MIMT18S|NG_074906.1
2832335	MIMT18S|NG_074905.1
1470016	MIMT18S|NG_065105.1
1987568	MIMT18S|NG_064992.1
5481	MIMT18S|NG_073565.1
2775103	MIMT18S|NG_070910.1
979690	MIMT18S|NG_070273.1
979717	MIMT18S|NG_070255.1
417184	MIMT18S|NG_070866.1
62132	MIMT18S|NG_070856.1
2704021	MIMT18S|NG_070795.1
1775466	MIMT18S|NG_070794.1
2704025	MIMT18S|NG_070695.1
2704024	MIMT18S|NG_070694.1
2704023	MIMT18S|NG_070693.1
1208333	MIMT18S|NG_070690.1
324621	MIMT18S|NG_070687.1
1306365	MIMT18S|NG_070634.1
1095183	MIMT18S|NG_070302.1
2588764	MIMT18S|NG_070294.1
4860	MIMT18S|NG_070283.1
423455	MIMT18S|NG_070282.1
979695	MIMT18S|NG_070274.1
64571	MIMT18S|NG_070266.1
979659	MIMT18S|NG_070241.1
2750447	MIMT18S|NG_070238.1
2717609	MIMT18S|NG_070161.1
652156	MIMT18S|NG_070110.1
43223	MIMT18S|NG_070101.1
2709059	MIMT18S|NG_068373.1
2486201	MIMT18S|NG_067687.1
2315864	MIMT18S|NG_067663.1
2201245	MIMT18S|NG_067630.1
45562	MIMT18S|NG_063429.1
2544956	MIMT18S|NG_065798.1
2544971	MIMT18S|NG_065794.1
2499430	MIMT18S|NG_065777.1
1938712	MIMT18S|NG_065706.1
1985864	MIMT18S|NG_065697.1
1985866	MIMT18S|NG_065696.1
2036939	MIMT18S|NG_065672.1
2036938	MIMT18S|NG_065671.1
2036943	MIMT18S|NG_065669.1
2027812	MIMT18S|NG_065666.1
2021465	MIMT18S|NG_065651.1
1977396	MIMT18S|NG_065650.1
1809268	MIMT18S|NG_065642.1
1661797	MIMT18S|NG_065636.1
1661796	MIMT18S|NG_065635.1
36028	MIMT18S|NG_065551.1
246081	MIMT18S|NG_065520.1
208486	MIMT18S|NG_065502.1
2070753	MIMT18S|NG_065493.1
2066077	MIMT18S|NG_065132.1
2038467	MIMT18S|NG_065121.1
1986178	MIMT18S|NG_065103.1
1548888	MIMT18S|NG_065046.1
243824	MIMT18S|NG_065045.1
243823	MIMT18S|NG_065043.1
1525356	MIMT18S|NG_065037.1
